Galaxy,Q,lam_kpc,eps,chi2,nu,chi2_red,flag_edge,flag_ok,status,lam_kpc_ll
NGC5585_rotmod,1,11.800261810344695,3.0,24.305161123310963,22,1.1047800510595893,0,1,OK,
NGC5907_rotmod,1,155.19352722589707,3.0,53.79200041049692,17,3.1642353182645246,0,1,OK,
NGC5985_rotmod,1,0.3,0.8994975894447724,91.79067144468875,31,2.9609894014415725,1,1,EDGE_LOW,
NGC6015_rotmod,1,37.048884448205634,3.0,119.229855294266,42,2.8388060784349047,0,1,OK,
NGC6195_rotmod,1,198.15090696133305,3.6228444170760937e-19,442.198745521841,21,21.057083120087665,1,1,EDGE_UP,198.15090696133305
NGC6503_rotmod,1,22.48768774075525,3.0,105.5058157776918,29,3.6381315785410964,0,1,OK,
NGC6674_rotmod,1,77.26724438204238,3.0,50.92532071012828,13,3.91733236231756,0,1,OK,
NGC6946_rotmod,1,199.9999999999941,0.3313331278140829,430.890762053007,56,7.694477893803696,1,1,EDGE_UP,199.9999999999941
NGC7331_rotmod,1,138.86343248951874,1.3634879722607368e-14,1800.4029483521167,34,52.953027892709315,0,1,OK,
NGC7793_rotmod,1,44.55521861384732,3.0,29.44626128917146,44,0.6692332111175332,0,1,OK,
NGC7814_rotmod,1,60.17045299900548,2.999999999999996,252.70232605600168,16,15.793895378500105,0,1,OK,
PGC51017_rotmod,1,117.63749267371588,8.301420324366242e-14,1.2271260705515654,4,0.30678151763789135,0,1,OK,
UGC00128_rotmod,1,3.9254177065916815,3.0,52.19931907823809,20,2.6099659539119044,1,1,EDGE_LOW,
UGC00191_rotmod,1,1.2870344901723167,1.884856973812959,1.2261463956850285,7,0.17516377081214693,1,1,EDGE_LOW,
UGC00731_rotmod,1,0.3,3.0,21.498370170124407,10,2.1498370170124406,1,1,EDGE_LOW,
UGC01230_rotmod,1,2.575859924150164,2.4842231655736,4.6106827230305925,9,0.5122980803367325,1,1,EDGE_LOW,
UGC01281_rotmod,1,1.5184612297011473,3.0,1.696863474234147,23,0.073776672792789,1,1,EDGE_LOW,
UGC02259_rotmod,1,0.3,2.7374809667275875,2.072885669416787,6,0.34548094490279785,1,1,EDGE_LOW,
UGC02455_rotmod,1,117.5410498500218,6.565512185462427e-17,100.12869510738476,6,16.688115851230794,0,1,OK,
UGC02487_rotmod,1,81.54808018573591,3.0,68.2842452423756,15,4.552283016158373,0,1,OK,
