Galaxy,lam_kpc,A,chi2,nu,status
NGC3726_rotmod,0.3009336100493121,0.003069187916729277,1215898269.9110649,10,EDGE_LOW
NGC3741_rotmod,199.99999999999997,281.3812318324393,43220881.26729623,19,EDGE_UP
NGC3769_rotmod,0.300000000000002,3.1441925452124764e-11,671272067.6692079,10,EDGE_LOW
NGC3877_rotmod,0.3000000000704248,1.3533591608494433e-10,886110032.4053656,11,EDGE_LOW
NGC3893_rotmod,0.3000002031698033,3.950132683977657e-09,1311588390.4032648,8,EDGE_LOW
NGC3917_rotmod,199.99999999999997,4799.296158766468,566812077.3987674,15,EDGE_UP
NGC3949_rotmod,0.3005617414809194,1.8994275720907872e-10,799374420.823444,5,EDGE_LOW
NGC3953_rotmod,0.30071028591100557,0.0018287279827990943,532290439.2905097,6,EDGE_LOW
NGC3972_rotmod,199.99999999999997,3220.7120817662803,196074202.26192868,8,EDGE_UP
NGC3992_rotmod,199.99999999999997,291357.52542006253,2537751530.136696,7,EDGE_UP
NGC4010_rotmod,0.30000000000000004,6928.139039680592,174724065.8307268,10,EDGE_LOW
NGC4013_rotmod,0.300016049323417,0.46112201629966876,5333010531.038926,34,EDGE_LOW
NGC4051_rotmod,0.30095403993763004,1.921394913587113e-09,624088108.168752,5,EDGE_LOW
NGC4068_rotmod,199.99999999999997,14.99773462078348,962663.0297493241,4,EDGE_UP
NGC4085_rotmod,0.3000000000099494,8.045522629472013e-20,356427328.76254296,5,EDGE_LOW
NGC4088_rotmod,0.30000000000031946,1.4650815283179242e-12,4919626526.631951,10,EDGE_LOW
NGC4100_rotmod,199.99999999999997,22721.917828963815,1744094586.145966,22,EDGE_UP
NGC4138_rotmod,0.3000000008869909,8.701207399042232e-06,755928390.8685734,5,EDGE_LOW
NGC4157_rotmod,0.3000000000008478,4.590743583887669e-12,3871407663.0795774,15,EDGE_LOW
NGC4183_rotmod,199.99999999999997,6771.503879125698,717102400.4901154,21,EDGE_UP
NGC4214_rotmod,199.99999999999997,928.3207095052758,197149594.23341614,12,EDGE_UP
NGC4217_rotmod,0.30000000000260396,8.189915108938739e-12,11563662257.644627,17,EDGE_LOW
NGC4389_rotmod,0.30000000000541444,5.923806150470723e-12,795194220.7760613,4,EDGE_LOW
NGC4559_rotmod,0.30000000000070104,3.066929225468859e-14,802005994.4594872,30,EDGE_LOW
NGC5005_rotmod,0.30000000000259336,1.0130352719878166e-11,18344992039.986996,16,EDGE_LOW
NGC5033_rotmod,0.30000000000000004,3.784448232221904e-12,12972202835.269388,20,EDGE_LOW
NGC5055_rotmod,0.3000000000296448,2.1395848894684155e-10,17284284493.24557,26,EDGE_LOW
NGC5371_rotmod,0.3000000000195618,1.4786178878511969e-10,6274773734.274562,17,EDGE_LOW
NGC5585_rotmod,0.30000000000000004,9.119498301586766e-13,273178444.12157446,22,EDGE_LOW
NGC5907_rotmod,199.99999999999997,113984.5667952678,3905204912.802224,17,EDGE_UP
NGC5985_rotmod,199.99999999999997,291684.81341167685,21579490767.50689,31,EDGE_UP
NGC6015_rotmod,199.99999999999997,2089.2416867269194,5192911906.182294,42,EDGE_UP
NGC6195_rotmod,0.30000000000034105,2.392560108366304e-12,12143056687.906109,21,EDGE_LOW
NGC6503_rotmod,0.30000000000000004,6553.7324726847155,1825306887.9826002,29,EDGE_LOW
NGC6674_rotmod,0.30000000000014165,2.6070237968411902e-08,14488081951.660408,13,EDGE_LOW
NGC6946_rotmod,0.3000000035412586,3.0714645424795814e-11,5131625795.622462,56,EDGE_LOW
NGC7331_rotmod,0.30019636406938144,0.0008566704652039903,64327637728.85471,34,EDGE_LOW
NGC7793_rotmod,117.66499346781487,3.398096113899302e-14,196198490.60074592,44,OK
NGC7814_rotmod,0.3000000000000001,1.6208771521156184e-12,9466977922.056791,16,EDGE_LOW
PGC51017_rotmod,0.30000000000000004,270.762750140555,87147.6741125842,4,EDGE_LOW
UGC00128_rotmod,199.99999999999997,13605.987329005406,2990367285.909583,20,EDGE_UP
UGC00191_rotmod,199.99999999999997,1267.2488444540847,62748196.16353007,7,EDGE_UP
UGC00731_rotmod,199.9999999999999,4078.6206589990124,105878354.88603851,10,EDGE_UP
UGC01230_rotmod,199.99999999999997,3606.980256776222,516633640.9286046,9,EDGE_UP
UGC01281_rotmod,199.99999999999997,47.86641086951793,48172970.2170284,23,EDGE_UP
UGC02259_rotmod,199.99999999999997,7088.424623362239,118292398.91993262,6,EDGE_UP
UGC02455_rotmod,0.30000000078184236,6.255109360151259e-16,115284613.36159351,6,EDGE_LOW
UGC02487_rotmod,199.99999999999997,726931.3040599079,45492088576.613945,15,EDGE_UP
UGC02885_rotmod,0.30000000000000043,6786939.709319413,22398725811.505592,17,EDGE_LOW
UGC02916_rotmod,0.7748751150130015,83.23984325374795,14487452053.560408,41,EDGE_LOW
UGC02953_rotmod,0.5667135969178336,159.04008581577762,102387740264.97177,113,EDGE_LOW
UGC03205_rotmod,0.30000000000000004,630.4336407834082,7379506186.072386,46,EDGE_LOW
UGC03546_rotmod,0.30000000000021265,1.7468459404673675e-13,47847556352.680305,28,EDGE_LOW
UGC03580_rotmod,0.30000001932103115,5.6968394308266124e-15,2672653525.3508124,45,EDGE_LOW
UGC04278_rotmod,199.99999999999997,236.76022746884578,276382898.0415813,23,EDGE_UP
UGC04305_rotmod,0.3000000000000005,3.3112911305642186e-15,2623308.4680991224,20,EDGE_LOW
UGC04325_rotmod,199.99999999999997,4333.645774507083,124024814.5075979,6,EDGE_UP
UGC04483_rotmod,199.99999999999997,12.541928483675266,511286.82463836746,6,EDGE_UP
UGC04499_rotmod,199.99999999999986,1986.5634316772837,47323499.06376818,7,EDGE_UP
UGC05005_rotmod,0.3000000000060429,1.4137464286640984e-15,253972432.23144233,9,EDGE_LOW
UGC05253_rotmod,0.38005515929274686,127.593193348286,30947466826.856426,71,EDGE_LOW
UGC05414_rotmod,199.99999999999997,626.5628518872617,7531028.239099725,4,EDGE_UP
UGC05716_rotmod,199.99999999999997,4746.132614261734,116172274.68381356,10,EDGE_UP
UGC05721_rotmod,199.99999999999997,247.56340679453382,406280114.00867844,21,EDGE_UP
UGC05750_rotmod,0.3000000000000058,7.448210180973985e-12,59915107.60165766,9,EDGE_LOW
UGC05764_rotmod,199.99999999999702,879.3959148774742,29276898.654563047,8,EDGE_UP
UGC05829_rotmod,199.99999999999997,1151.1587627883198,31651483.575150177,9,EDGE_UP
UGC05918_rotmod,199.99999999999997,695.8829980577684,6731392.243949475,6,EDGE_UP
UGC05986_rotmod,199.99999999999997,4088.9973023280027,639723148.463986,13,EDGE_UP
UGC06399_rotmod,199.99999999999997,3092.688129288905,103154312.74084775,7,EDGE_UP
UGC06446_rotmod,199.99999999999997,3396.7644762230343,271275440.9755267,15,EDGE_UP
UGC06614_rotmod,0.3006669454982154,0.002425925087454317,3975089487.181095,11,EDGE_LOW
UGC06628_rotmod,0.30000029191588645,1.752305164903573e-12,4173871.4824456014,5,EDGE_LOW
UGC06667_rotmod,199.99999999999997,4475.730264469352,161872691.50528336,7,EDGE_UP
UGC06786_rotmod,0.30000000000000177,2195.0246465493155,15169905152.88961,43,EDGE_LOW
UGC06787_rotmod,0.30000000000000004,1.3890066397417855e-13,56977839472.7966,69,EDGE_LOW
UGC06818_rotmod,199.99999999999997,710.7123895808038,38688943.37678544,6,EDGE_UP
UGC06917_rotmod,199.99999999999997,11213.326455094748,210133329.8342097,9,EDGE_UP
UGC06923_rotmod,199.9999999999994,627.3197005733977,24575643.99285703,4,EDGE_UP
UGC06930_rotmod,199.99999999999997,11108.894203072668,239359022.86159828,8,EDGE_UP
UGC06973_rotmod,0.3001474639670336,1.2109537114366424e-10,16885263824.920858,7,EDGE_LOW
UGC06983_rotmod,199.99999999999972,18308.72231178531,602414717.1710737,15,EDGE_UP
UGC07089_rotmod,199.99999999999997,1241.8648048267082,40497402.94663231,10,EDGE_UP
UGC07125_rotmod,199.99999999999997,2067.237127586887,29950733.1907811,11,EDGE_UP
UGC07151_rotmod,199.99999999999997,937.537173047429,34771575.18730213,9,EDGE_UP
UGC07261_rotmod,199.99999999999997,3119.459891017406,31343689.508969665,5,EDGE_UP
UGC07323_rotmod,199.99999999999997,551.9024801786842,21029852.393502854,8,EDGE_UP
UGC07399_rotmod,199.99999999999997,5070.435526631303,379233465.2020354,8,EDGE_UP
UGC07524_rotmod,199.99999999999997,1148.586740503584,277211841.08642423,29,EDGE_UP
UGC07559_rotmod,199.99999999999997,83.29104563660474,769643.3858896671,5,EDGE_UP
UGC07577_rotmod,0.3000000000040503,1.7466290219097975e-20,18627.147579490003,7,EDGE_LOW
UGC07603_rotmod,199.99999999999997,734.3770778365188,58427359.12117514,10,EDGE_UP
UGC07608_rotmod,199.99999999999997,1424.7754689392175,44977509.409274995,6,EDGE_UP
UGC07690_rotmod,199.99999999999997,797.9783081855106,9359329.879682558,5,EDGE_UP
UGC07866_rotmod,199.99999999999997,119.70770223376978,753533.2140557719,5,EDGE_UP
UGC08286_rotmod,199.99999999999997,2571.542194352224,276377438.7253065,15,EDGE_UP
UGC08490_rotmod,199.9999999999999,2197.278510414517,514516260.5667273,28,EDGE_UP
UGC08550_rotmod,199.9999999999997,1189.9251362526272,35007628.01617431,9,EDGE_UP
UGC08699_rotmod,0.30000000000132077,2.6294148192593817e-13,7866995674.333283,39,EDGE_LOW
UGC08837_rotmod,199.99999999999997,123.63324607472913,2956930.8556334833,6,EDGE_UP
UGC09037_rotmod,0.300000000033764,8.535826229014993e-15,1377382700.80505,20,EDGE_LOW
UGC09133_rotmod,0.48335680560579664,10734.253006949524,54685739072.51912,66,EDGE_LOW
UGC10310_rotmod,199.99999999999997,3310.627477730288,31006009.14325051,5,EDGE_UP
UGC11455_rotmod,0.30000000096540885,7.277547375077616e-14,13488828581.57505,34,EDGE_LOW
UGC11557_rotmod,0.30000000021200146,6.294877009017693e-16,80109651.65040885,10,EDGE_LOW
UGC11820_rotmod,199.99999999999997,234.44471866543688,92840229.11906701,8,EDGE_UP
UGC11914_rotmod,0.30000000012303696,2.5885335030554607e-15,8252168024.971016,63,EDGE_LOW
UGC12506_rotmod,199.99999999999997,34684.06660635139,26169893400.38889,29,EDGE_UP
UGC12632_rotmod,199.99999999999997,2495.9801451887156,108205402.9906659,13,EDGE_UP
UGC12732_rotmod,199.99999999999997,5644.097845031549,317961415.43268895,14,EDGE_UP
UGCA281_rotmod,199.99999999999997,19.499186474833436,629069.2105240042,5,EDGE_UP
UGCA442_rotmod,199.99999999999997,584.7852410391964,30135764.831680913,6,EDGE_UP
UGCA444_rotmod,199.99999999999997,95.22383905208089,14549888.424160741,34,EDGE_UP
